n1411013,法轮功学员北京被捕太太赴美求救
n8451226,组图：印尼巴淡岛多个学校师生学炼法轮功
n8491811,旧金山老兵节游行 法轮功队伍感动大礼官
n8533791,丹麦首都放映《活摘》 观众：悲伤之夜
n8572855,美国会听证：川普应如何改变对华人权政策
n8596450,律师为法轮功辩护指控江泽民 江西司法厅惧怕
n8638021,大陆各界民众向李洪志大师恭贺新年
n8662673,公检法司军队法轮功学员贺李洪志先生新年好
n8748912,专家评“两高”打压新规：中共最符邪教定义
n8750135,法律专家：中共两高新规解释是司法界耻辱
n8846163,西班牙25万个“反活摘器官”签名呈交国会
n8864863,报告：中共在“中国精神之战”中走向失败
n8889049,瑞典首都民众闻法轮功真相 签名支持反迫害
n8888710,丹麦健康博览会 民众喜见法轮功
n8896929,大陆3省近期6起法轮功学员案被撤诉
n8928285,一位法轮功学员的孩子给大陆法官的一封信
n8988487,豫地方检察院伪证构陷 法轮功律师法庭激辩
n8989070,迫害法轮功者出国？追查国际全面收集名单
n9009732,川习会晤最应该谈什么？ 美USCIRF这么说
n9009661,白宫网站征签 吁川普敦促习近平 制止强摘器官
n9031367,维也纳市议会决议案反对中共非法器官交易
n9049631,纪念425 日本法轮功学员游行当地民众声援
n9055103,游巴黎 大陆游客闻听法轮功真相
n9067697,纽约法轮功学员大集会 纪念四二五和平上访
n9075155,一位北京保安队队长所亲历的“四二五”
n9082474,美国凤凰城州立大学法轮功社团获颁奖
n9092003,美国密州众院通过决议案 制止中共强摘器官
n9097277,“奉上祝福” 温哥华民众与法轮功学员同行
n9106336,加拿大公民被抓 议员吁渥太华施压中共放人
n9124243,法轮功洪传25年之际 公检法出现不寻常现象
n9127376,明慧4月报导大陆新增12位法轮功学员被撤案释放
n9104630,加政要贺法轮大法日：法轮功打动无数人的心
n9128523,美国参议院越南人权日活动  唾弃共产主义
n9136654,曼哈顿游行震撼华人：想跟法轮功学员说加油
n9137174,世界法轮大法日 美国会议员等人送祝福
n9154596,德国绿嫩城市长与民共庆法轮大法日
n9154379,纽约州多个市县褒奖法轮大法日
n9157929,4华人妻子现身美国会听证会：让丈夫回家
n9166995,加议员：加总理和外交部长可直接提孙茜案
n9167014,加拿大联邦参议员祝贺世界法轮大法日
n9170817,黑龙江法轮功王淑英被非法判刑 家属控告法官
n9173414,中共司法机关违法对待法轮功 律师纷控告
n9197601,黑龙江刘子平被抓  500乡亲按红手印救人
n9201891,湖南再有2名法轮功学员被撤案释放
n9206051,美密西根国殇日游行 法轮功获赞文化使者
n9214045,加拿大阿伯塔省大草原市多名政要褒奖法轮功
n9218595,美芝加哥市通过决议案 庆祝法轮大法洪传25周年
n9225929,对中国法轮功学员被迫害的调查（1）
n9230640,对中国法轮功学员被迫害的调查 (2)
n9233873,访民发诉江图片被判4年 鲍彤：江泽民没特权
n9234149,合肥庐山首例外地律师为法轮功学员无罪辩护
n9233864,法轮功在巴西受欢迎
n9237316,对中国法轮功学员被迫害的调查（3）
n9241878,辽宁法轮功学员受迫害 荷兰主流媒体关注
n9242607,法轮功加国游行获赞 大陆移民全程录像带回国
n9242827,跨国营救：从雕塑大师到亿万富豪
n9247375,美首都缅怀共产主义受难者 中国母女加入
n9251834,大陆再增十起法轮功学员被撤案释放案例
n9251977,组图：拉脱维亚节庆活动 法轮功受欢迎
n9256100,美百年历史玫瑰节游行 法轮功花车获最高奖
n9260114,加拿大高贵林游行 市长国会议员齐赞法轮功
n9266214,德媒：端午节唤起他15年前集中营的记忆
n9284261,四川法轮功学员被非法判刑 律师无罪辩护
n9296167,加世界小姐联合国发言 中共回应自打耳光
n9299363,瑞典首都政治周 法轮功真相广传
n9301905,制止中共强摘研讨会美国会举行 政要发声
n9304001,英文版《活摘──十年调查》在美国会首映
n9305418,加国再有多位国会议员发声：立刻释放孙茜
n9305377,妻子修炼法轮功被非法抓捕 丈夫控告610
n9322433,调查14年 追查国际美国会公布六大部分证据
n9322928,一位法轮功学员家属想要说的话
n9325401,林展翔：迫害法轮功责任人入美将面临制裁
n9327000,多伦多玫瑰花节 观众期待法轮功年年来
n9327210,济南法轮功学员被非法庭审 律师作无罪辩护
n9331782,香港成陆客请购《转法轮》热点
n9336079,欧洲十国法轮功学员杜塞尔多夫大游行
n9345117,费城《娱乐时间杂志》刊文报导法轮功
n9345090,迫害法轮功者入境美国将面临制裁 专家解析
n9347016,5月统计：大陆新增79位法轮功学员遭判刑
n9347306,撤诉退案 1至5月至少53位法轮功学员获释
n9353698,代理法轮功案 律师从无罪辩护到主动控告
n9354296,新西兰冬季 寒风中民众聆听法轮功真相
n9362932,救中国母亲 南佛州大学学生政府通过决议案
n9370675,酷刑致疯案沉冤数载 家属控告天津滨海监狱
n9403281,浊世清莲——纽约时代广场上法轮功学员
n9457888,多伦多法轮功学员排字“正法”民众感受光明
n9461938,多家瑞典报纸刊登法轮功真相文章
n9481185,冬日美景——法轮功在西悉尼受欢迎
n9482165,组图：法轮功真相传播克里米亚半岛
n9491030,温哥华加勒比海节 法轮功学员带来意外惊喜
n9497444,西雅图炬光大游行 法轮功花车放光彩
n9504909,辩护律师遭打压 文东海：法轮功学员完全无罪
n9508683,组图：法轮功真相在印度北部传播
n9517383,西雅图玉兰区夏日庆典 授法轮功特别奖
n9528307,山东龙口500乡亲要求释放法轮功学员李玉君
n9534503,日本法轮功关西三大城游行 东西方民众支持
n9547575,组图：日本民众大雨中签名举报江泽民
n9554119,台湾世大运会嘉年华游行 法轮功受邀参加
n9555925,秘鲁法轮功学员首都弘法 市长：向民众推广
n9556013,传递美好 法轮功年年受邀参加昆士兰文化节
n9555689,美国“自由之家”：中共镇压法轮功失败
n9559686,斯德哥尔摩书展 最好的位置给《法轮功》
n9563259,自由之家报告：中共使出全部手段镇压法轮功
n9567223,美媒报导唐人街集会呼吁停止迫害法轮功
n9575078,“我能为你做什么？”英国民众支持法轮功
n9582874,应秘鲁国家卫生部邀请 法轮功学员社区教功
n9586820,美国加州中秋街会 近90位华人“三退”
n9593371,加州法轮功集会敦促停止迫害 议员现场声援
n9598310,纽约华人感谢法轮功学员讲真相
n9598100,洛杉矶游客:制止中共迫害 每人该出一份力
n9603169,组图：慕尼黑民众：我们得揭露中共邪恶
n9598918,组图：芝加哥西郊劳工节大游行 华人展风采
n9603341,法轮功真相在布拉格 捷克媒体现场直播
n9608841,纽约曼哈顿社区活动 法轮功学员分享美好
n9611180,比利时“和平路线” 法轮功学员孤儿受关注
n9612816,中共干扰加州参议院第10号决议案 外界谴责
n9613217,美联社：加州发起决议支持法轮功 中领馆阻挠
n9632300,明尼苏达州博览会 逾万民众签名支持法轮功
n9635237,万寿菊节 一群东方人开启西方人心中的门
n9648201,新学期伊始 法国学生了解法轮功
n9652405,美明州参议员致信上海市长：释放法轮功学员
n9652172,密西根州特洛伊市长赞扬法轮功
n9665077,韩国规模最大仁孝传统文化节 法轮功获奖
n9678955,组图：德国儿童节 学法轮功的孩子络绎不绝
n9684165,川普访华应该怎么做？ 前欧经社主席这么说
n9684134,多伦多皇后公园里 一群中国人的故事
n9687885,法轮功巴黎反迫害游行 法国前部长陪走全程
n9686623,迫害法轮功者名单被提交给美国政府
n9689287,全球270万人联署 吁联合国制止中共强摘器官
n9688865,大陆明真相民众恭祝李洪志大师中秋快乐
n9696763,大陆民众“翻墙”中秋问候法轮功李洪志大师
n9699871,大陆军警司法系统弟子祝李洪志师父中秋好
n9704577,美国会建议川普：立新政追责中共侵犯人权
n9708224,大陆民众对李洪志师父的感恩与期盼
n9708748,美重量级议员：警惕中共渗透美国和世界
n9713180,加籍女富豪孙茜遭迫害 律师控告北京公安局
n9715633,加拿大安省农展节 民众学炼法轮功
n9737287,日本横滨 法轮功反迫害游行引人关注
n9753733,检察院不批捕 四川法轮功张国华被释放回家
n9762689,检察院不起诉 7月份4位法轮功学员被释放
n9766715,美明州参议员致信习近平 吁制止迫害法轮功
n9778829,依法拷贝审讯光盘受法院阻挠 陆律师不屈服
n9786686,中领馆干扰失败 法轮功应邀参加法国展会
n9787034,大陆8月份10位法轮功学员被释放
n9790601,广州法轮功学员杨秋仁等案开庭 律师要求放人
n9798429,九月大陆60位法轮功学员被枉法判刑
n9799649,手印事件不断涌现 陆民众吁释放法轮功学员
n9811803,美政府专员：川普访华应公开提法轮功问题
n9819810,法轮功学员博览会演示功法 丹麦人学功踊跃
n9822612,日本大道艺世界杯会场 法轮功学员讲真相征签
n9826036,川普访华期间 美议员华府谴责中共活摘器官
n9823694,组图：悉尼双湾集市上支持法轮功的民众
n9831250,悉尼集市上的摊商：我喜欢法轮功 支持你们
n9836007,组图：印尼巴淡岛高中七百多师生学法轮功
n9871120,拍摄四川法院法警不法行为 律师卢廷阁遭殴
n9895721,美参议员：揭穿共产主义的谎言
n9915706,大陆律师为法轮功无罪辩护 今年逾370场
n9919610,觅真：致力于维护法轮功人权的加拿大政府
n9931306,为高考生解压 法轮功受邀走入爱尔兰中学校园
n9942868,各界等待川普政府公布人权侵犯者制裁名单
n9960925,一位16岁少女的痛苦经历
n9887373,东方抗压“秘方” 这些国家的警察告诉你
n9932856,表彰法轮功 美国2017年通过的决议案和褒奖
n9977050,加国公民孙茜陷冤狱 家属再告北京公安局
n9976308,法院准许检察院撤诉 辽宁两法轮功学员获释
n9941895,表彰法轮功 2017年加拿大褒奖和贺信
n9981574,为法轮功学员仗义执言 河北乡亲遭绑架
n9967134,【年终盘点】2017法轮功十大新闻 （上）
n9977769,【年终盘点】2017年法轮功十大新闻 （下）
n9974802,检察院撤诉或退案 今年75位法轮功学员获释
n10002917,斯洛伐克39国会议员联署 促停止迫害法轮功
n10008074,澳国会议员敦促西安市市长释放法轮功学员
n10068675,爱尔兰健康展 政要及体育名流支持法轮功
n10079437,曾经的海洛因之奴 一本奇书帮他脱离毒海
n10080821,一位律师心目中的法轮功学员
n10098608,中共迫害加国公民 律师向总理呈无罪意见书
n10177726,宁夏银川监狱里的“生活”（3）春雨润物
n10204307,西澳最大嘉年华 法轮功展位吸睛
n10252305,乔治亚州众议院通过决议案谴责中共强摘器官
n10266487,继众院后 乔州参院通过决议谴责中共强摘器官
n10282721,亚利桑那州议会签署制止中共强摘器官备忘录
n10315845,历史不堪回首 波兰老翁又见共产主义新罪恶
n10372951,【庆祝5.13】咱们屯里的法轮功
n10388746,多伦多庆祝法轮大法日 政要到场祝贺
n10410921,密苏里州参院全票通过决议 谴责中共强摘器官
n10436888,美发布年度国际宗教自由报告 关注法轮功
n10452196,《纽时》等多国媒体报导中共迫害法轮功
n10491354,美议员发起932号决议案 声援中国退党大潮
n10494663,为法轮功辩护被吊照 律师这些话让中共恐惧
n10500679,共产主义受害者纪念基金会主任：感谢法轮功
n10500729,美宗教自由委员会副主席：停止迫害法轮功
n10500867,近万法轮功美首都盛大活动 众政要现场声援
n10501017,自由之家副总裁：追究中共宗教迫害责任
n10497309,青年法轮功弟子聚华府 分享反迫害故事
n10501439,法轮功华盛顿DC盛大游行  民众：我支持他们
n10501518,法轮功华府大游行 观者感动回归传统的信息
n10501285,法轮功华盛顿大游行 横幅讯息震撼美国首都
n10504459,鲍彤：共产党迫害法轮功 应受全世界谴责
n10494842,惠虎宇：法轮功学员反迫害游行释重要信息
n10511932,中使馆前集会 美法轮功学员吁法办江泽民
n10515021,当我身穿旗袍约见美国议员的那一刻
n10522464,佛州那不勒斯市长鼓励市民炼习法轮功
n10529490,纽约曼哈顿街市节 西人学炼法轮功
n10529564,发起932号决议案 罗拉巴克谈声援三退
n10571030,反迫害19周年 澳昆士兰法轮功游行 民众声援
n10578183,19年坚持不懈和平抗争 法轮功受赞誉
n10570834,法轮功“7‧20”反迫害 19年风雨崎岖路
n10585465,美启动宗教自由部长会议 开场边会聚焦中国
n10586601,法国人权广场 法轮功学员纪念反迫害19年
n10589593,美首届宗教自由部长会议开幕 法轮功受关注
n10589573,美国宗教自由部长会议 爆中共强摘器官等议题
n10589728,《求救信》美国首都放映 感动国务院职员
n10593613,美宗教自由部长会议 发布针对中共特别声明
n10606835,美宗教自由部长会议 中共不在列席名单上
n10607944,美驻华使馆转发宗教自由信息 含中共敏感词
n10614209,倡导宗教自由 川普政府开创全球新格局
n10615969,中共强摘人体器官 美政要促调查和立法
n10617257,美政要专家吁法律制裁中共侵犯人权官员
n10625157,“法办江泽民”惊现美国务院报告背后（2）
n10633559,辽宁12名法轮功学员被非法关押2年 家属控告
n10641172,捷克布尔诺市长谴责中共迫害法轮功
n10664765,中共院士郑树森是医生还是政治工具（4）
n10668272,从山东辽宁升级诬蔑法轮功看中共造假历史
n10679081,《求救信》获墨西哥电影节纪录片评委大奖
n10683927,一位中国乡下老师 获美国参众两院关注
n10690044,丹麦警方认错侵犯人权 法轮功学员获理赔
n10687820,一位中国花季少女给奶奶的那个吻
n10697777,悉尼法轮功大游行 民众：人们需要真善忍
n10706291,波兰中欧经济论坛 政要签名支持控告江泽民
n10713843,德国绿嫩市政府官方网页推荐法轮功
n10729835,权威学者：侵犯宗教自由 中共被点名最多
n10746220,觅真：真诚的感恩浸透着民心所向
n10749360,法轮功布拉格大游行 游客驻足了解真相
n10767290,美18位参议员联合发声 谴责中共打压宗教
n10775405,美国会：中国人权状况恶化 文革以来最严重
n10777584,美国参议院发起决议案 制止中共打压宗教
n10781274,组图：亚洲法轮功学员 首尔反迫害声援退党
n10798027,悉尼莱德市长：欢迎法轮大法团体参加节庆
n10806304,纽约法轮功大游行“真好看 发朋友圈”
n10827431,谴责中共活摘器官 医学教授：极端可怕罪行
n10821828,丹麦警察曝光更多中共渗透内幕
n10846893,律师依法为法轮功做无罪辩护 遭中共打压
n10875809,曝光610文件 宗教权威人谴中共打压法轮功
n10877934,610文件下令加剧打压法轮功 美官员谴责
n10882078,川习会前 美国会听证 谴中共打压宗教自由
n10882266,中共绑架法轮功学员 美国务院：停止迫害
n10884257,美国会CECC吁川习会关注法轮功受迫害
n10884818,美前外交官：法轮功受迫害应纳入美中对话
n10885824,黑龙江大规模绑架法轮功学员 美政界谴责
n10891702,美参议院听证 聚焦中国人权日益恶化
n10897982,《求救信》感动欧洲议会观众：会哭很多次
n10902768,美向联合国提出关注 促中共停止迫害法轮功
n10904430,谢燕益律师专访：有人害怕这国家走向正常
n10921963,福国利民 2018年法轮功所获各类褒奖
n10932219,褒奖法轮功 推崇普世价值
n10922724,【年终盘点】2018年法轮功十大新闻
n10948448,新年感恩 中国百姓盼李洪志大师早日回国
n10998917,影片：与全世界背道而行 中共为何打击善良
n11026306,冰天雪地 瑞典法轮功学员传真相 感动民众
n11098363,美国际宗教自由大使访港 促停止迫害法轮功
n11110799,重庆八旬教师控告江泽民 遭报复
n11111708,美国务院人权新报告 多次提中共迫害法轮功
n11115255,美国人权报告 中国章节一值得关注的进展
n11118029,阿肯色州参议院通过决议案 制止中共强摘器官
n11130142,为污蔑人权律师王宇 央视剪掉了什么画面？
n11136773,捷克参议院通过决议案 要求中共停止迫害
n11157870,中共强摘器官 芬兰议会九议员吁惩罚罪犯
n11167851,天主教新闻网：中共的群体灭绝罪行
n11178933,亚利桑那媒体：中共强摘器官对美国有何影响
n11221950,丈夫遭冤判9年 法轮功学员邵紫英被迫害离世
n11229916,制止强摘人体器官 全球立法行动知多少
n11232059,大陆移民旧金山推崇法轮功：真善忍好
n11232631,大赦国际呼吁紧急行动：释放北京教师陈彦
n11232919,加拿大温莎市宣布 五月为该市法轮大法月
n11237722,美国麻州众议院颁发褒奖状 祝贺法轮大法日
n11240051,纽约州奥伯尼市长宣布5月13日法轮大法日
n11240138,美国麻州参议院祝贺第20届世界法轮大法日
n11240713,神灵赐福 巴西一企业稳步发展壮大
n11243062,大陆警察感谢李大师 向法轮功学员鞠三躬
n11245885,新泽西州参众议院联合决议褒奖法轮大法日
n11247031,加拿大渥太华市长连续9年宣布 法轮大法日
n11250223,美国北德州十城市宣布 法轮大法日
n11255686,USCIRF委员：人权应纳入美中贸易谈判
n11242901,组图：各国政要祝贺5.13世界法轮大法日
n11242880,美加政要褒奖法轮大法 宣布大法日大法月
n11263630,纽约万人大游行散发慈悲能量 各国观众喜爱
n11265444,纽约盛大法轮功活动 台湾学员感受殊胜美好
n11273123,汶川地震山崩地裂的那一刻
n11273218,用实际行动赎罪 派出所所长胃癌痊愈
n11280869,谴责中共活摘器官 美密苏里州通过决议案
n11281560,加拿大魁北克庆法轮大法日 市长议员祝贺
n11282738,纽约11位国会议员褒奖法轮大法
n11283943,德国百年老报记者体验法轮功：充满能量
n11285941,美议员颁发国会特别褒奖 感谢法轮大法
n11286029,祝贺法轮大法日 密西根州再发特殊褒奖令
n11285652,澳洲各级政要褒奖祝贺法轮大法日
n11287543,纽约市七位市议员祝贺法轮大法日
n11289569,纽约州六位参议员祝贺法轮大法日
n11292679,美国国务院将对迫害法轮功者 严格审核签证
n11297122,外媒：中国陆军医院前实习生亲历活摘器官
n11340432,美国务院年度报告 批中共严重打压宗教自由
n11340563,美国务卿：对严重侵犯宗教自由者追责
n11352966,袁红冰：法轮功对中国政治的影响
n11353494,章天亮：倾国家之力的迫害
n11355603,法轮功阿根廷洪传19年 法官曾要抓江罗
n11363603,响彻在世界政坛的正义之声（上）
n11365941,【专访】澳参议员：制裁中共 不做迫害同谋
n11370721,爱德华‧斯考特: 对迫害善良的一个政治上的回应
n11367520,响彻在世界政坛的正义之声（中）
n11376814,瑞典民主周 中共阻碍法轮功学员讲真相失败
n11376727,参与迫害法轮功 中共驻瑞典大使被举报到美国
n11379412,宗教自由会议在即 美大使：升至行动层级
n11387274,7‧20反迫害 美参众议员致信声援法轮功(1)
n11390870,胡平：20年烈火 法轮功屹立不倒成“真金”
n11396207,共产主义受害者纪念基金会主任：中共即将倒台
n11396317,国防论坛基金会总裁：法轮功在反迫害最前线
n11396410,法轮功游行震撼人心 美首都民众感动表支持
n11396495,美司法部律师：支持停止迫害法轮功
n11397207,宗教与民主研究院主任：感谢法轮功坚持真理
n11398383,人权组织执行主任：一起曝光中共邪恶罪行
n11385414,20年前 澳洲西人为法轮功赴京上访（下）
n11398539,国际宗教自由委员会副主席：20年的迫害太久
n11398576,国际人权组织东亚负责人：中共是邪恶的
n11398694,7·20华府演讲 大卫·乔高：中共是杀人犯
n11400032,澳立法会议员：公开直接制止中共迫害法轮功
n11400819,秘鲁法轮功受邀参加游行 政府褒奖
n11402499,法轮功阿根廷中领馆前反迫害 十年如一日
n11406694,美国会吁中共释放法轮功学员 邓翠苹女儿感谢
n11405877,组图：反迫害20年 澳纽法轮功呼唤正义良知
n11403596,澳纽正义之声汇入全球反迫害之洪势
n11408528,反迫害20年 马来西亚法轮功系列活动传真相
n11409005,法轮功反迫害 川普政府与美国国会公开声援
n11411173,美国会点名要求中共释放左洪涛 纽约声援
n11413325,专访加拿大国会议员：推动人权 不要怕中共
n11412078,胡平：未来道德重建 法轮功将发挥更大作用
n11417416,美大使发推特 谴责中共迫害法轮功
n11424188,前加拿大世姐：我是如何改变对法轮功看法
n11437477,世纪正邪之战 美国总统及各级政要支持法轮功
n11458257,明州众议院多数党领袖敦促释放孙兰英
n11461393,“中共是所有人噩梦”美智库主席吁解体中共
n11481899,美严审迫害者签证 震慑中共 精英支持
n11488843,34国法轮功学员欧洲集会游行 英议员声援
n11489139,组图一：法轮功学员欧洲盛大游行 震撼世人
n11489424,欧洲集会反迫害 伦敦民众：法轮功很了不起
n11489082,反迫害20周年 34国法轮功学员伦敦集会
n11489263,伦敦盛大游行 34国法轮功学员吁停止迫害
n11491427,葛特曼：共同问责中共活摘器官的同谋犯
n11495010,美媒：法轮功群体在戈申找到自由
n11511790,法轮功将向美移民局提供在美迫害者名单
n11515127,得福益 新学员大陆民众祝李洪志大师中秋好
n11521196,美重量级参议员 要求中共停止迫害法轮功
n11525726,密州狂欢节 市长：法轮大法给世界带来美好
n11537332,加国名校迎新活动 中国留学生寻法轮功真相
n11546426,中共强摘器官证据呈递联合国 媒体聚焦
n11558054,又一批中共人权迫害者名单 递交美加英澳政府
n11559718,十一国殇日 港前区议员支持法轮功和平抗议
n11569061,法轮功学员受邀在美智库演讲 感动华府听众
n11590555,美明尼苏达大学年度作画 法轮功应邀参加
n11597772,法国解放报：法国应该承诺反对强摘器官
n11625277,法轮功真相传入太平洋热带岛国瓦努阿图
n11640866,澳洲逾20万人签名举报江泽民
n11664119,组图：多国游客在波兰名城签名举报江泽民
n11666929,澳洲自由党参议员抨击中共野蛮强摘器官
n11708802,国际人权日 香港法轮功学员举行反迫害集会
n11708865,香港立法会议员胡志伟：很佩服法轮功学员
n11717665,国际人权日 美多位议员谴责中共迫害法轮功
n11718013,制裁迫害法轮功者 美国政要支持采取行动
n11741117,中共侵犯宗教自由 美国宣布将持续追责
n11751194,【2019盘点】响彻世界政坛的正义之声
n11801155,澳洲参议员：法轮功为中国所有良心犯争人权
n11922727,新一批中共恶人名单递美加英澳新五国政府
n11929991,斯洛伐克各界人士谴责中共迫害法轮功
n11999415,美宗教自由大使:大疫下释放法轮功等良心犯
n12070864,USCIRF委员：中共迫害宗教 威胁全球
n12128484,世界法轮大法日 瑞士政要向法轮功致敬
n12141692,白宫报告点名中共迫害人权 美政要学者乐见
n12156005,外媒关注“谷歌语音输入”屏蔽法轮功敏感词
n12173324,福克斯报导法轮功受迫害专题 获艾美奖提名
n12181650,“判刑10年罚10万”美关注法轮功受迫害
n12181921,美驻华使馆刊登蓬佩奥讲话 含中共敏感词
n12212777,比利时联邦参议院决议 谴责中共活摘器官
n12242297,前加司法部长：中共重判孙茜 将无辜定有罪
n12242651,马振宇苏州监狱遭酷刑 美议员：愿助营救
n12247635,“停止迫害法轮功” 美议员谴中共卑鄙
n12268388,六百多立法议员谴责中共强摘法轮功学员器官
n12270667,美众院向“国会良知——刘易斯议员”致哀
n12270827,美宗教大使发推：法轮功坚忍不屈给我启迪
n12271183,反迫害周年日 美国务院官员会见法轮功学员
n12272809,美驻华大使馆中文声明：停止迫害法轮功
n12276095,外媒主管揭秘中共活摘器官的第一目标
n12276347,人权组织谴责《纽时》歧视受迫害信仰群体
n12279951,美国务院高级官员会见五位法轮功学员
n12285189,美国政府行政部门系列行动 声援法轮功
n12295877,加国议员致信外长 惩治迫害法轮功的中共官员
n12318387,北京画家许那一案 律师：警察违法抓人
n12320907,法律学者：中国的法轮功案 无一不是冤案
n12332087,美国务院发言人要求立即停止迫害法轮功
n12335836,叶宁：法轮功越抗争越勇 中共在垂死挣扎
n12354794,滕彪：中共是对人类的现实威胁
n12359711,澳洲媒体：中共对中国人发动的战争
n12373278,中共大使馆向匈牙利议员施压 信件曝光
n12379525,中共大使恐吓瑞典政要 战狼式外交遭抵制
n12390098,华人网友：“欠法轮功一份感谢和道歉”
n12425397,蓬佩奥斥中共破坏加州法轮功决议案
n12434776,美前议员：西方宗教界对宗教迫害不要沉默
n12439867,中国民众向李洪志大师恭贺中秋
n12452434,蓬佩奥：联合盟友 对中共宗教迫害者追责
n12460308,国会大厦前 瑞典人冒雨驻足听法轮功真相
n12465493,联合国边会 关注中共禁止孩童修炼法轮功
n12479007,美智库：必须大声谴责中共迫害宗教
n12489638,美助卿：美国在搜集中共活摘器官指控信息
n12508045,瑞典国会议员：全世界联合起来对付中共威胁
n12520541,美驻华大使馆发布人权报告 7次提法轮功
n12528038,中共拟重判法轮功学员金玉红 律师：捏造罪名
n12545735,澳政要赞法轮功学员善良 批中共迫害无耻
n12554659,宗教自由会议波兰开幕 蓬佩奥谴责中共
n12559050,波兰宗教自由部长级会议边会 聚焦法轮功
n12562321,美宗教自由大使要求中共停止迫害信仰
n12543571,感恩节诉心声 澳华人：法轮功创始人功德无量
n12575873,加国法轮功吁政府制裁中共官员 获两万人联署
n12577054,澳洲议员谴责中共对法轮功的迫害
n12584345,洛杉矶闹市现真相车队 华人觉醒支持法轮功
n12612010,美制裁中共官员 法轮功发言人:望国际跟随
n12618094,美国精英人权日声援法轮功 谴责中共迫害
n12620277,加拿大前司法部长：严厉制裁中共反人类罪犯
n12629086,大陆留学生：全球华人都应敬佩法轮功
n12640836,美国务院连续发表推特 谴责中共迫害宗教
n12641101,美驻华使馆公布制裁迫害法轮功的中共官员
n12641094,美国扩大签证限制 迫害法轮功者逃美之路被堵
n12646757,英国政要关注中国法轮功学员王楣泓受迫害
n12688896,美国会委员会报告：中共继续迫害法轮功
n12691235,法轮功学员崔凤兰受美国会委员会特别关注
n12694195,大疫下 看法轮功在海峡两岸强烈对比
n12701092,推动国际宗教自由  川普留下哪些政治遗产
n12707407,闻欣：钱学森为何拒绝反对法轮功？
n12720728,澳洲华文报总编：天安门自焚 中共本质所致
n12730451,天主教神父：中共反神反人性 必然走向灭亡
n12747212,澳洲大律师：祝福李洪志大师和全球法轮功学员
n12748024,海外华裔学者恭祝法轮功团体和李大师过年好
n12750047,中国各军区兵种大法弟子给李洪志大师拜年
n12755077,回应法轮功请愿 澳外长承诺保护信仰自由
n12756566,共产主义受难者协会澳洲主席感恩李洪志大师
n12757957,澳洲多元文化委员会主席祝李洪志大师新年好
n12778386,一个来自共产中国的爱情故事：营救未婚妻
n12782626,加拿大政要递交国会请愿书 吁惩罚中共恶人
n12793222,九千多“610”恶人名单被递交38国政府
n12810955,美制止强摘器官法案如通过 将意味着什么
n12828339,美弗州官民抵制中共活摘器官 感谢告知真相
n12849786,巴黎市政厅广场上的正义之声
n12873078,春暖花开 美华府法轮功学员纪念碑前炼功
n12871807,“世界无群体灭绝”组织谴责中共强摘器官
n12898729,曾慧燕：我曾在世贸大楼专访李洪志先生
n12901973,纽约社区领袖：对法轮功的迫害 就是仇恨犯罪
n12902232,法律界人士： 法轮功万人上访是合法权利
n12914624,退休上校死于山东监狱 中共被指步步违法
n12918251,法轮功5200人排字贺创始人华诞 谢师恩
n12922678,佛州两市颁发褒奖状 颂贺法轮大法日
n12921706,庆5.13大法日 纽约州奥伯尼市长颁褒奖令
n12924452,美国德州参议院决议案 谴责中共强摘器官
n12896250,“四二五”周年 加国会法轮功之友吁施压中共流氓政权
n12925015,美弗州第11县决议 强烈谴责中共迫害法轮功
n12928310,美国宾州州长祝贺世界法轮大法日
n12928372,美麻州参众两院颁发褒奖 祝贺世界法轮大法日
n12928833,费城市长颁发褒奖令 庆祝世界法轮大法日
n12934466,佛州三市宣布法轮大法日 鼓励居民实践真善忍
n12934700,英国政要祝贺5.13世界法轮大法日
n12935031,美国佛蒙特州州长祝贺世界法轮大法日
n12934877,德国黑森州四级政要祝贺世界法轮大法日（1）
n12936785,内华达州长祝贺世界法轮大法日
n12937400,香港政要感佩法轮功 恭祝李洪志大师华诞
n12937571,德国黑森州四级政要祝贺世界法轮大法日（2）
n12939844,宾州州参议员宣布选区法轮大法日
n12944350,美国务院报告法轮功受迫害 去年83人致死
n12948869,美国辛辛那提市长颁发褒奖 宣布法轮大法日
n12943654,美国宣布制裁中共成都前“610”主任
n12950669,大法日 美宗教自由办公室发推声援法轮功
n12953756,美国麻州三城市褒奖 祝贺法轮大法日
n12953813,美国亚利桑那州钱德勒市长宣布法轮大法日
n12955404,明慧报告获美国“本杰明‧富兰克林奖”银奖
n12958567,美国德州政要宣布法轮大法日
n12956249,观曼哈顿大游行 纽约人赞“真、善、忍好”
n12958610,“不能容忍”美弗州第13县谴责中共强摘器官
n12960301,捷克人权委员会委员贺法轮功创始人华诞
n12963056,支持法轮功学员讲真相 花店老板生意红火
n12965367,欧洲议会德国议员：纪念法轮大法日很重要
n12968555,美制裁前610主任 敲山震虎 直指中共
n12972642,近2千人网上学法轮功 加议员：会记住动作
n12972837,余辉只会是美国制裁的唯一“610”主任吗
n13010579,真善忍美展在美国德州展出 政要到场支持
n13027185,美国佩奇县通过决议 谴责中共迫害法轮功
n13040108,谴责中共强摘器官 弗吉尼亚州费市通过决议
n13045655,“七一”前 中共多地绑架法轮功学员
